BE	MULTIPOLYGON (((2.362060546875 51.28940590271679, 2.5433349609375 50.84410451978964, 4.0814208984375 49.96888926176223, 4.801025390625 49.76707407366792, 5.4327392578125 49.475263243037986, 5.8282470703125 49.50380954152213, 5.965576171875 49.653404588437894, 5.8062744140625 49.82380908513249, 5.899658203125 50.07476923351935, 6.179809570312499 50.12057809796008, 6.4434814453125 50.317408112618686, 6.300659179687499 50.649460483096135, 6.1468505859375 50.764259357116465, 5.7403564453125 50.80940599750376, 5.899658203125 51.16556659836182, 5.5206298828125 51.32717923968566, 5.2569580078125 51.32031367286622, 5.1031494140625 51.50190410761811, 4.713134765624999 51.52925135518991, 4.383544921875 51.49164465653034, 4.1912841796875 51.385495069223204, 3.97705078125 51.251601468176545, 3.592529296875 51.334043778789415, 3.4716796874999996 51.28597042110153, 3.33984375 51.46427482966439, 3.043212890625 51.587309751245456, 2.362060546875 51.28940590271679)))
BEL.2_1	MULTIPOLYGON (((2.26043701171875 50.666872321810715, 5.9765625 50.666872321810715, 5.9765625 51.54804306453371, 2.26043701171875 51.54804306453371, 2.26043701171875 50.666872321810715)))
BEL.1_1	MULTIPOLYGON (((4.2249298095703125 50.75948168204403, 4.4886016845703125 50.75948168204403, 4.4886016845703125 50.9151558824997, 4.2249298095703125 50.9151558824997, 4.2249298095703125 50.75948168204403)))
BEL.3_1	MULTIPOLYGON (((2.84271240234375 49.48418574950772, 6.416015625 49.48418574950772, 6.416015625 50.80593472676908, 2.84271240234375 50.80593472676908, 2.84271240234375 49.48418574950772)))
